ros_time,odom_x,odom_y,odom_z,gt_x,gt_y,gt_z,drift_dx,drift_dy,drift_dz,drift_dist,source
1747219398.590835077,-57.081862083577214,8.678749877963762,0.0,-56.94582678438029,8.468587397362157,0.0,-0.13603529919692647,0.21016248060160514,0.0,0.25034750024759056,gt
1747219398.691002661,-57.10053790059139,8.660862832628839,0.0,-56.94582678438029,8.468587397362157,0.0,-0.15471111621110367,0.19227543526668178,0.0,0.2467901385515182,odom
1747219398.691002661,-57.10053790059139,8.660862832628839,0.0,-57.01124208092561,8.404189937542757,0.0,-0.08929581966577871,0.2566728950860817,0.0,0.27176224624044815,gt
1747219398.857452356,-57.170538270651384,8.593732387961122,0.0,-57.01124208092561,8.404189937542757,0.0,-0.1592961897257723,0.18954245041836515,0.0,0.247591632677172,odom
1747219398.957467806,-57.1923069630176,8.572219710126753,0.0,-57.01124208092561,8.404189937542757,0.0,-0.181064882091988,0.16802977258399565,0.0,0.2470192219273934,odom
1747219399.057483253,-57.21399150617733,8.550588913473128,0.0,-57.01124208092561,8.404189937542757,0.0,-0.20274942525171724,0.14639897593037077,0.0,0.2500799663974765,odom
1747219399.057483253,-57.21399150617733,8.550588913473128,0.0,-57.07714947731474,8.336718601888483,0.0,-0.13684202886258845,0.2138703115846443,0.0,0.2539020500912553,gt
1747219399.190842010,-57.210686066174375,8.555988580023621,0.0,-57.07714947731474,8.336718601888483,0.0,-0.13353658885963426,0.21926997813513793,0.0,0.2567320468419377,odom
1747219399.326372738,-57.23583613066376,8.531012419768789,0.0,-57.07714947731474,8.336718601888483,0.0,-0.15868665334902232,0.19429381788030575,0.0,0.25086159853117856,odom
1747219399.326372738,-57.23583613066376,8.531012419768789,0.0,-57.14473223308187,8.266374046672741,0.0,-0.09110389758189541,0.264638373096048,0.0,0.2798810259191137,gt
1747219399.457461318,-57.25987254344353,8.506876587890341,0.0,-57.14473223308187,8.266374046672741,0.0,-0.11514031036166017,0.24050254121759984,0.0,0.26664351370753936,odom
1747219399.591278154,-57.33437196214294,8.432260840912662,0.0,-57.14473223308187,8.266374046672741,0.0,-0.18963972906107074,0.16588679423992048,0.0,0.2519556614596188,odom
1747219399.591278154,-57.33437196214294,8.432260840912662,0.0,-57.2146977193379,8.192493177056383,0.0,-0.11967424280503991,0.2397676638562789,0.0,0.2679747320589335,gt
1747219399.724115792,-57.36428783134752,8.401341720144682,0.0,-57.2146977193379,8.192493177056383,0.0,-0.14959011200961925,0.20884854308829937,0.0,0.2568947558070341,odom
1747219399.824117949,-57.38675048493538,8.377855592756237,0.0,-57.2146977193379,8.192493177056383,0.0,-0.17205276559747773,0.18536241569985457,0.0,0.25290587044160584,odom
1747219399.924164092,-57.43829784940597,8.32572169040644,0.0,-57.2146977193379,8.192493177056383,0.0,-0.22360013006807122,0.1332285133500566,0.0,0.2602822601252813,odom
1747219399.924164092,-57.43829784940597,8.32572169040644,0.0,-57.28636618959315,8.115606316845092,0.0,-0.1519316598128171,0.21011537356134724,0.0,0.25929076238906407,gt
